"","ZNF750","CBX2","SOCS3","RAC3","KDELR3","GRIP1","PYCR1","TH","CBX7","ASPSCR1","MICALL1","C1QTNF1","SLC38A10","CARD10","GRAP2","EIF4A3"
"gsm336235ul",2.32,5.23,4.58,4.3,7.12,4.22,7.2,6.34,8.68,6.27,8.41,5.61,5.34,5.1,0.85,9.79
"gsm336236ul",1.81,5.55,4.75,3.14,6.95,4.63,6.75,6.46,8.95,6.38,8.09,5.03,5.09,5.35,1,9.66
"gsm336237ul",-0.32,5.27,4.58,4.34,8.02,4.11,7.69,6.05,8.46,7.15,8.17,6.01,5.81,5.67,2.2,9.64
"gsm336238ul",0.14,5.83,5.85,1.96,7.45,4.42,6.13,1.49,9.02,5.26,8.02,5.47,5.07,5.02,1.14,9.62
"gsm336239ul",-0.32,6.31,5.77,1.07,7.81,2.2,6.84,1.32,8.62,5.26,7.36,6.46,5.32,5.42,1.96,9.61
"gsm336240ul",-2.32,5.87,4.83,1.85,7.06,4,6.37,4.42,9,6.03,7.73,5.61,5.39,6.06,0.38,9.7
"gsm336241ul",1.07,4.74,3.6,0.77,6.74,3.41,5.8,-0.51,9.6,6.34,7.57,4.93,5.43,6.26,0.38,9.56
"gsm336242ul",2.58,5.18,9.75,2.1,7.13,4.25,6.54,3.62,8.92,6.15,7.47,5.4,5.33,5.22,2.23,9.31
"gsm336243ul",1.96,4.5,6,1.43,8.04,2.68,6.35,2.32,8.25,7.02,8.45,4.46,5.31,4.32,1.49,9.66
"gsm336244ul",-0.74,5.56,5.54,5.31,8.53,3.15,7.58,5.23,8.02,6.59,8.93,5.77,5.81,5.39,1.26,9.84
"gsm336245ul",0,4.32,7.21,1.2,7.81,3.19,6.26,2.87,9.03,6.36,7.79,5.52,5.39,6.56,0.93,9.41
"gsm336246ul",-1.32,5.63,5.42,4.19,7.91,3.5,7.12,3.26,8.66,6.1,8.67,4.21,5.45,4.98,1.43,9.83
"gsm336247ul",1,4.06,6.13,0.93,6.68,4.52,5.76,2.41,9.63,5.66,7.65,4.36,5.65,5.44,1,9.29
"gsm336248ul",1.63,3.95,7.06,-0.74,6.98,1.07,6.17,1.43,9.63,6,8.09,5.22,5.66,6.04,1,9.43
"gsm336249ul",0.26,5.05,5.19,-0.15,7.74,2.36,6.11,1.07,9.28,6.79,7.91,5.14,5.43,5.08,2.51,9.45
"gsm336250ul",-2.32,6.05,5.35,1,7.97,3.69,6.16,0.49,8.99,7.33,7.78,5.14,5.69,4.77,1.14,9.84
"gsm336251ul",-1.74,5,6.87,1.81,8.49,0.49,7.07,1.14,8.38,7.16,8.18,5.7,6.18,6.15,0.68,9.81
"gsm38689ul",2.7,1.63,4.3,2.17,6.49,0.49,5.85,4.07,7.7,5.18,7.02,6.76,8.14,4.95,3.57,8.4
"gsm38690ul",-1,4.1,3.47,1.32,6.47,1.43,6.31,3.87,7.78,4.82,7.3,6.58,7.1,4.55,2.68,8.47
"gsm38691ul",2.68,2.51,2.54,1,6.97,0.58,6.82,3.12,6.65,5.04,7.81,6.21,7.55,4.22,0.49,8.31
"gsm38692ul",0.26,2,4.62,1.38,6.88,0,5.9,0.14,6.7,4.18,6.78,6.27,6.86,4.78,1.85,9.07
"gsm38693ul",3.07,0.68,3.81,2.35,7.42,3.1,6.69,3.17,6.8,4.91,7.24,6.78,7.83,4.3,2.7,8.19
"gsm38694ul",3.28,1.93,4.86,2.83,7.09,1.14,6.49,5.55,7.22,5.69,7.65,7.06,7.79,4.68,1.89,7.86
"gsm38695ul",2.72,1.38,4.73,1.85,6.96,0.14,6.15,4.63,6.85,5.44,6.78,3.34,7.9,4.43,2.51,8.36
"gsm9093ul",2,4.31,5.46,2.14,6.86,0,7.27,3.8,6.77,6,7.58,5.87,8.1,4.92,3.39,8.95
"gsm9094ul",0,3.71,5.34,2.89,7.08,1.38,7.32,3.04,7.91,4.84,7.51,6.69,7.83,4.77,2.43,8.7
"gsm9095ul",-1,1.63,4.19,1.68,7.1,2,6.74,3.15,8.24,5.7,7.45,6.4,7.02,4.94,1.81,8.61
"gsm9096ul",2.54,5.22,5.04,2.49,7.74,1.68,7.22,5.6,7.02,5.9,7.7,7.26,7.6,5.08,2.46,8.82
"gsm9097ul",-0.32,2.77,4.96,4.14,7.67,1.68,7.9,5.14,7.53,6.58,7.95,7.4,7.99,4.9,2.2,9.07
"gsm569429ul",3.22,5.35,5.11,4.61,5.26,4.36,6.9,4.27,8.38,5.04,7.27,6.81,6.77,5.52,5.68,8.48
"gsm569430ul",3.39,5.34,5.2,4.63,5.12,4.23,6.94,4.11,7.07,4.75,7.75,6.76,6.64,5.64,5.44,8.5
"gsm569431ul",3.32,4.69,4.68,4.34,4.6,3.91,6.13,4.04,7.82,5.1,7.95,6.72,7.81,5.3,5.04,8.55
"gsm569432ul",3.32,4.87,4.58,4.29,6.71,3.79,6.61,4.22,7.05,4.8,7.09,6.14,6.95,5.2,4.64,8.68
"gsm569433ul",3.28,4.67,4.54,4.47,6.54,3.68,6.73,4.2,7.52,4.86,8.79,6.55,7.59,5.19,4.74,9.16
