"","TYPE","ASPSCR1","BET1L","CBX2","CBX7","CCDC57","CYTH4","FASN","GRIP1","HMGA2","KDELR3","PYCR1","RAC3","SOCS3","TH","TNRC6B","ZNF750"
"gsm336222ul","UL",5.68,6.14,4.54,8.24,3.77,5.02,5.56,2.67,2.82,8.22,7.04,0.14,4.61,0.77,6.98,-1.32
"gsm336223ul","UL",6.25,6.2,3.9,9.17,4.02,5.49,5.54,3.76,2.89,7.58,7.06,1.89,8.77,3.42,6.93,2.17
"gsm336224ul","UL",6.47,6.29,5.66,8.63,4.19,4.9,5.14,4.49,3.14,7.94,7.72,4.17,5.66,5.7,6.91,0.93
"gsm336225ul","UL",6.6,6.1,5.27,8.56,3.53,5.48,5.26,2.97,2.69,8.26,7.56,2.38,5.31,4.89,6.92,-0.15
"gsm336226ul","UL",6.41,6.3,5.04,8.47,3.2,4.86,5.07,6.4,7.25,7.13,4.82,1.49,6.96,-0.51,6.84,-3.32
"gsm336227ul","UL",6.49,6.91,6.04,9.31,4.66,5.15,6.41,3.98,7.38,6.8,6.04,2.56,6.58,2.35,7.28,0
"gsm336228ul","UL",7.06,6.75,4.49,8.25,4.17,5.13,6.61,5.12,6.3,6.66,6.68,1.14,4.64,2.7,7.29,-1
"gsm336229ul","UL",6.54,6.71,4.93,8.73,3.9,5.26,5.71,2.8,2.08,7.75,6.5,2,5.39,2.68,7.27,-1.32
"gsm336230ul","UL",6.38,6.11,5.5,8.78,3.95,4.86,5.54,2.94,1.98,7.64,6.11,0.77,5.05,0.38,6.83,-1.32
"gsm336231ul","UL",7.15,6.65,5.14,9,4.34,4.84,5.86,3.16,2.64,7.23,6.42,2.38,4.07,3.38,7.36,-2.32
"gsm336232ul","UL",7.19,6.26,4.52,8.66,4.57,5.24,6,3.61,3.59,7.83,6.38,3.05,5.62,2.74,6.51,0.26
"gsm336233ul","UL",5.38,6.6,5.14,8.1,4.28,5.24,5.54,4.18,4.51,8.6,6.71,1.2,5.54,2.46,6.96,-0.32
"gsm336234ul","UL",5.44,6.38,5.48,7.94,4.51,5.23,5.27,5.18,4.09,7.54,6.5,2.35,5.04,1.14,6.71,2.54
"gsm336235ul","UL",6.27,5.87,5.23,8.68,4.32,4.68,5.09,4.22,2.96,7.12,7.2,4.3,4.58,6.34,6.19,2.32
"gsm336236ul","UL",6.38,5.83,5.55,8.95,3.51,4.79,5.03,4.63,2.32,6.95,6.75,3.14,4.75,6.46,6.39,1.81
"gsm336237ul","UL",7.15,6.68,5.27,8.46,4.3,4.65,5.77,4.11,3.48,8.02,7.69,4.34,4.58,6.05,6,-0.32
"gsm336238ul","UL",5.26,6.33,5.83,9.02,4.29,5.02,5,4.42,3.68,7.45,6.13,1.96,5.85,1.49,7,0.14
"gsm336239ul","UL",5.26,6.79,6.31,8.62,5.17,5.45,6.3,2.2,4.54,7.81,6.84,1.07,5.77,1.32,6.26,-0.32
"gsm336240ul","UL",6.03,5.85,5.87,9,4.13,4.94,5.47,4,2.72,7.06,6.37,1.85,4.83,4.42,6.37,-2.32
"gsm336241ul","UL",6.34,6,4.74,9.6,3.81,4.95,4.82,3.41,1.87,6.74,5.8,0.77,3.6,-0.51,6.33,1.07
"gsm336242ul","UL",6.15,6.15,5.18,8.92,4.42,4.98,5.5,4.25,3.48,7.13,6.54,2.1,9.75,3.62,7.35,2.58
"gsm336243ul","UL",7.02,6.21,4.5,8.25,4.3,4.88,5.59,2.68,4.33,8.04,6.35,1.43,6,2.32,7.17,1.96
"gsm336244ul","UL",6.59,6.88,5.56,8.02,3.58,4.75,6.44,3.15,3.9,8.53,7.58,5.31,5.54,5.23,6.19,-0.74
"gsm336245ul","UL",6.36,6.04,4.32,9.03,3.96,4.93,5.5,3.19,2.52,7.81,6.26,1.2,7.21,2.87,7.36,0
"gsm336246ul","UL",6.1,6.22,5.63,8.66,4.29,5.68,5.07,3.5,4.02,7.91,7.12,4.19,5.42,3.26,7.4,-1.32
"gsm336247ul","UL",5.66,6.02,4.06,9.63,4.17,4.25,4.76,4.52,1.96,6.68,5.76,0.93,6.13,2.41,8.05,1
"gsm336248ul","UL",6,6.23,3.95,9.63,3.88,5.01,4.88,1.07,2.6,6.98,6.17,-0.74,7.06,1.43,6.71,1.63
"gsm336249ul","UL",6.79,6.22,5.05,9.28,4.17,5.63,6.03,2.36,2.73,7.74,6.11,-0.15,5.19,1.07,6.82,0.26
"gsm336250ul","UL",7.33,6.61,6.05,8.99,4.16,5.1,5.96,3.69,2.96,7.97,6.16,1,5.35,0.49,6.67,-2.32
"gsm336251ul","UL",7.16,6.47,5,8.38,3.4,6.21,6.14,0.49,3.06,8.49,7.07,1.81,6.87,1.14,6.23,-1.74
"gsm38689ul","UL",5.18,4.1,1.63,7.7,3.73,5.88,4.82,0.49,5.22,6.49,5.85,2.17,4.3,4.07,6.14,2.7
"gsm38690ul","UL",4.82,1.49,4.1,7.78,2.46,5.09,4.3,1.43,3.54,6.47,6.31,1.32,3.47,3.87,6.3,-1
"gsm38691ul","UL",5.04,3.45,2.51,6.65,4.04,5.65,5.05,0.58,5.49,6.97,6.82,1,2.54,3.12,7.19,2.68
"gsm38692ul","UL",4.18,4.69,2,6.7,2.29,5.37,5.13,0,5.17,6.88,5.9,1.38,4.62,0.14,6.25,0.26
"gsm38693ul","UL",4.91,3.92,0.68,6.8,2.2,5.8,5.25,3.1,4.5,7.42,6.69,2.35,3.81,3.17,6.4,3.07
"gsm38694ul","UL",5.69,3.12,1.93,7.22,3.47,5.92,5.6,1.14,5.33,7.09,6.49,2.83,4.86,5.55,5.92,3.28
"gsm38695ul","UL",5.44,2.93,1.38,6.85,1.93,5.96,5.62,0.14,5,6.96,6.15,1.85,4.73,4.63,6.18,2.72
"gsm9093ul","UL",6,3.54,4.31,6.77,4.39,6.33,5.21,0,4.16,6.86,7.27,2.14,5.46,3.8,6.79,2
"gsm9094ul","UL",4.84,3.12,3.71,7.91,3.56,6.21,5.86,1.38,4.63,7.08,7.32,2.89,5.34,3.04,7.28,0
"gsm9095ul","UL",5.7,3.63,1.63,8.24,2.1,5.53,5.41,2,5,7.1,6.74,1.68,4.19,3.15,7.24,-1
"gsm9096ul","UL",5.9,3.15,5.22,7.02,5.35,6.21,5.77,1.68,5.06,7.74,7.22,2.49,5.04,5.6,7.3,2.54
"gsm9097ul","UL",6.58,4.28,2.77,7.53,4.31,6.05,6.7,1.68,5.36,7.67,7.9,4.14,4.96,5.14,7.3,-0.32
"gsm569429ul","UL",5.04,5.1,5.35,8.38,5.55,5.89,5.91,4.36,9.25,5.26,6.9,4.61,5.11,4.27,6.28,3.22
"gsm569430ul","UL",4.75,5.43,5.34,7.07,5.77,5.87,6.2,4.23,4.43,5.12,6.94,4.63,5.2,4.11,6.33,3.39
"gsm569431ul","UL",5.1,4.61,4.69,7.82,4.95,5.49,5.76,3.91,4.29,4.6,6.13,4.34,4.68,4.04,5.73,3.32
"gsm569432ul","UL",4.8,4.63,4.87,7.05,4.81,5.26,5.63,3.79,4.41,6.71,6.61,4.29,4.58,4.22,6.06,3.32
"gsm569433ul","UL",4.86,4.47,4.67,7.52,4.94,5.4,5.58,3.68,4.01,6.54,6.73,4.47,4.54,4.2,5.72,3.28
