"","TYPE","DCXR","TRIOBP","DDX17","RPL3","RASSF7","CD7","GAA","IFITM3","PICK1","TBCD","SIRT3","SLC16A8","AZI1","BAIAP2","PLA2G6","SIRT7"
"gsm336243ul","UL",7.79,8.17,10.15,12.93,5.61,3.06,7.46,12.15,5.72,6.57,6.95,1.89,5.6,6,6.2,7.08
"gsm336244ul","UL",7.9,8.45,10.08,12.99,6.23,4.79,8.1,12.83,6.1,6.08,6.76,2.94,5.25,5.53,6.8,7
"gsm336245ul","UL",8,8.69,10.42,13.25,6.11,3.11,7.69,12.79,5.67,6.2,6.25,3.74,5.13,5.22,6.22,6.39
"gsm336246ul","UL",7.04,8.62,10.56,13.69,6.14,3.97,7.5,12.47,6.6,6.44,6.29,3.42,6.02,4.78,6.5,6.5
"gsm336247ul","UL",7.39,7.9,10.06,12.66,6.42,1.43,7.45,11.64,5.81,6.25,5.93,1.68,5.39,4.44,5.84,6.49
"gsm336248ul","UL",7.87,7.71,10.15,13.23,5.77,3.93,7.72,12.38,5.73,5.94,6.33,2.29,4.27,4.65,5.89,6.58
"gsm336249ul","UL",6.55,8.04,10.07,12.86,5.61,1.72,8.54,12.31,5.57,6.73,6.86,2.35,1.38,4.7,6.26,6.86
"gsm336250ul","UL",6.56,8.17,10.01,12.76,7.4,5.87,8.29,12.01,6.07,6.85,7.34,4.31,5.1,5.23,6.69,7.34
"gsm336251ul","UL",7.53,8.69,9.91,12.8,6.61,3.83,8.58,12.7,5.77,7.16,6.45,1.81,5.82,5.23,5.96,7.08
"gsm38689ul","UL",8.07,8.69,9.51,12.79,5.81,2.87,7.41,10.88,4.79,6.1,6.37,5.83,3.81,5.24,6.19,6.13
"gsm38690ul","UL",6.5,8.74,9.6,12.62,5.66,1.91,6.73,10.59,4.59,5.73,6.27,2.46,4.5,4.71,5.89,5.77
"gsm38691ul","UL",3.86,8.12,9.27,12.15,6.4,1.87,7.57,10.73,4.93,6,6.55,4.63,4.11,4.92,6.57,5.78
"gsm38692ul","UL",7.28,8.53,9.82,13.95,6.44,1.56,7.02,11.19,4.28,5.09,6.54,2.68,0.77,4.32,6.65,5.79
"gsm38693ul","UL",7.5,8.54,9.23,12.25,6.12,2.95,7.46,11.12,4.54,6.08,6.21,4.52,3.31,4.9,6.03,5.98
"gsm38694ul","UL",7.89,8.39,9.11,12.86,6.59,1.46,6.98,11.09,5.89,6.31,6.71,5.7,4.56,5.86,6.47,6.13
"gsm38695ul","UL",7.61,8.37,9.77,13.76,6.55,1.49,7.24,11.28,4.6,5.69,6.93,2.96,2.26,5.19,6.5,5.31
"gsm9093ul","UL",6.36,9.06,9.7,12.67,6.33,4.23,7.72,12.44,5.53,6.71,6.45,3.02,4.16,4.99,6.29,6.68
"gsm9094ul","UL",6.24,8.94,9.61,12.75,6.99,2.96,7.54,11.22,5.69,6.46,6.86,3.1,5.93,4.86,7.53,6.15
"gsm9095ul","UL",5.99,8.79,9.76,12.94,6.75,1.41,7.41,10.99,5,5.45,6.81,3.42,5.26,4.98,6.92,6.5
"gsm9096ul","UL",7.11,9.24,9.73,12.39,6.95,2,7.72,12.01,5.16,6.29,6.97,3.39,5.12,5.51,7.26,6.31
"gsm9097ul","UL",7.12,9.49,9.77,12.76,7.13,2.96,7.81,12.37,5.78,6.65,7.16,5.26,5.17,5.55,7.29,6.1
"gsm569429ul","UL",5.89,8.9,9.91,13.14,7.69,5.37,7.19,10.17,6.63,6.81,7.33,5.88,5.31,5.86,7.24,5.69
"gsm569430ul","UL",6.65,8.96,9.91,13.26,7.27,5.51,7.41,11.3,6.55,7.22,7.03,6.13,5.43,5.77,6.95,5.35
"gsm569431ul","UL",6.81,9.05,10.21,12.72,6.74,4.73,7.64,10.01,6.02,7.29,6.45,4.77,5.42,5.44,6.5,5.8
"gsm569432ul","UL",6.8,8.86,9.22,12.91,6.63,4.49,6.65,11.08,5.72,6.54,6.39,4.34,4.94,5.13,6.22,5.71
"gsm569433ul","UL",7.52,9.2,9.18,13,6.62,4.52,6.86,11.59,6.09,6.8,6.67,4.55,5.22,5.06,6.31,5.37
